Disease,Species,Info,Link,MapURL,ImageURL
FMD,Cattle,"In March 2026, cases reported in Europe (Cyprus, Greece and Tźrkiye) of FMD SAT1
No active cases in UK",https://www.epicscotland.org/resources/the-risk-of-foot-and-mouth-disease-transmission-posed-by-public-access-to-the-countryside-during-an-outbreak/,,
BTV,Cattle,"In Europe, reports of BTV-3 in Greece, Germany and Romania; and BTV-8 in Germany and Greece (March 2026) As of March 2026, BTV-3 situation in Great Britain is ongoing with 304 cases reported in the 2025/2026 season (since July 2025), mainly in England. ",https://www.epicscotland.org/resources/risk-assessment-for-bluetongue-virus-btv-8-risk-assessment-of-entry-into-the-united-kingdom/,,
EBL,Cattle,"The UK is officially recognized as free from Enzootic Bovine Leukosis (EBL), with no confirmed cases in Great Britain since 1996",,,
B.abortus,Cattle,No cases,,,
LSD,Cattle,3 reports in Sardinia (Apr 2026),,,
EHD,Cattle,no reports of EHD,,,
FMD,Sheep,"In March 2026, cases reported in Europe (Cyprus, Greece and Tźrkiye) of FMD SAT1
No active cases in UK",,,
BTV,Sheep,"In Europe, reports of BTV-3 in Greece, Germany and Romania; and BTV-8 in Germany and Greece (March 2026) As of March 2026, BTV-3 situation in Great Britain is ongoing with 304 cases reported in the 2025/2026 season (since July 2025), mainly in England. ",https://www.epicscotland.org/resources/assessing-the-potential-for-bluetongue-virus-8-to-spread-and-vaccination-strategies-in-scotland/,,
Sheep pox,Sheep,49 cases reported in Greece in March 2026,,,
PPR,Sheep,"There have been 6 reported cases of PPR in Europe (April 2026) 4 in Croatia, and 2 in Albania, affecting both sheep and goats.",,,
EHD,Sheep,no reports of EHD,,,
FMD,Pigs,"In March 2026, cases reported in Europe (Cyprus, Greece and Tźrkiye) of FMD SAT1
No active cases in UK",,,
ASF,Pigs,"African Swine Fever is spreading in parts of Europe, Asia, and Africa. The risk of introduction to Great Britain is being highly monitored due to widespread presence in Europe. Over 232 cases in wild boar reported across 10 municipalities in Catalonia, Spain, by March 19, 2026. While wild boar cases are high, commercial pig farms have remained largely unaffected, though high-risk restrictions are in place.
In Europe, the disease continues to spread, with new detections of ASF in wild boar in Saxony, Germany, and outbreaks in domestic pigs in Moldova, Romania, Serbia, and Ukraine.",https://www.mapa.gob.es/dam/mapa/contenido/ganaderia/temas/sanidad-animal-e-higiene-ganadera/sanidad-animal/enfermedades/porcino/ppa/informe_inicial_ccppa.pdf,,
CSF,Pigs,,,,
SVD,Pigs,,,,
PED,Pigs,,,,
Aujesky's,Pigs,,,,
HPAI,Poultry,"(Strain type) HPAI H5N1 is the hazard of interest, other HPAI H5 strains (mainly H5N8) when no relevant information is available for H5N1. 
(Transmission) Two major routes of exposure and infection are considered: direct exposure via direct contact with infected carcasses and indirect exposure via contaminated environments or fomites.
In Apr 2026, HPAI H5N1 was confirmed in commercial poultry in Lincolnshire, England.
In 2025, there were ongoing detections of HPAI in dairy cattle in the United States",https://www.epicscotland.org/news/information-on-avian-influenza-bird-flu-in-scotland/,https://experience.arcgis.com/experience/062722fea8b24285b46fa6fc02b9fb51,
LPAI,Poultry,There were no reports of LPAI in MarchĘ2026,,,
Newcastle disease,Poultry,"Some cases in Europe (Germany, Poland and Spain)",,,
EIA,Horses,Reports mainly in Chile (March 2026),,,
WNV,Horses,No reports,,,
AHS,Horses,No reports,,,