,Species,Disease,,
,Cattle,Foot and mouth disease (FMD),,
,,Bluetongue (BTV),,
,,Enzootic bovine leukosis (EBL),,
,,Brucella abortus,,
,,Lumpy Skin Disease,,
,,Epizootic Hemorrhagic Disease (EHD),,
,Sheep,FMD,,
,,BTV,,
,,Sheep pox,,
,,Peste des petits ruminais (PPR),,
,,EHD (?),,
,Pigs,FMD,,
,,African Swine Fever (ASF),,
,,Classical Swine Fever (CSF),,
,,Stone Vesicular Disease (SVD),,
,,Porcine epidemic diarrhoea (PED),,
,,Aukeszky’s,,
,Poultry,HPAI,,
,,LPAI,,
,,Newcastle disease,,
,Horses,Equine Infectious Anaemia (EIA),,
,,West Nile virus (WNV),,
,,African Horse Sickness,,